Cb,L,B,T,GMT,Wt,Disp,Excess
[0.37834987],[29.69932301],[7.88554457],[3.34869814],[1.9921112],[179.99791026],[296.72068716],[116.72277689]
[0.57997907],[31.5265811],[4.03106353],[4.68707594],[-0.58739724],[152.00371767],[345.47038964],[193.46667197]
[0.51617964],[36.04646593],[11.81096244],[3.11320357],[4.08838847],[263.63090572],[684.15794531],[420.52703959]
[0.53501224],[47.21639232],[5.22344162],[3.26243454],[0.25392942],[212.91717287],[430.48207442],[217.56490155]
[0.47727532],[49.70009996],[3.45638816],[4.2589992],[-0.37340947],[197.7088436],[349.18558755],[151.47674395]
[0.49824815],[40.52446911],[8.50354481],[3.10958138],[1.93865002],[236.25759226],[533.90619132],[297.64859905]
[0.37600018],[45.81018892],[3.0136197],[2.54578435],[0.16765164],[169.77461611],[132.14787844],[-37.62673767]
[0.42643134],[28.69775101],[3.23037941],[4.61984102],[-0.37219302],[136.78544957],[182.63228075],[45.84683118]
[0.53363696],[29.72227014],[9.21625377],[3.72098161],[1.63715691],[198.89048035],[543.92600766],[345.03552731]
[0.55126076],[45.42072017],[9.61245491],[4.65903051],[1.09512184],[312.23779089],[1121.3494312],[809.1116403]
[0.44748734],[37.38502868],[6.33353186],[2.93886809],[1.11987279],[188.18828737],[311.38990131],[123.20161394]
[0.50126121],[35.73857389],[7.47802178],[4.22182616],[0.68334777],[209.2771046],[565.57263946],[356.29553486]
[0.36561317],[33.27880643],[3.69940122],[2.25206615],[0.55230955],[143.05704227],[101.36829595],[-41.68874632]
[0.36737443],[32.83384388],[11.28592488],[4.8265389],[2.92361196],[259.16520513],[657.05787274],[397.89266761]
[0.48563393],[25.04196077],[4.79182114],[3.1866823],[0.25688208],[136.52858896],[185.70206001],[49.17347105]
[0.43914154],[25.2244442],[6.00000626],[4.67831739],[0.21482342],[153.06259379],[310.93349775],[157.87090396]
[0.4197932],[30.93571407],[5.55992202],[2.77661337],[0.94878302],[156.48929318],[200.48397109],[43.99467791]
[0.34635266],[44.20158742],[9.94616863],[2.70466214],[4.73554772],[275.47350214],[411.83688303],[136.36338089]
[0.33261158],[38.61500021],[4.82748367],[3.82050689],[0.50886718],[179.2847049],[236.88371248],[57.59900757]
[0.57481084],[43.88314437],[4.93070014],[4.18541449],[-0.25393462],[202.39940051],[520.5587511],[318.15935059]
[0.44335747],[41.44808166],[10.51426717],[3.64308244],[2.94364239],[286.97363766],[703.8927171],[416.91907943]
[0.5083509],[30.26091189],[10.6984475],[3.06149026],[3.37790078],[211.64671776],[503.84766591],[292.20094814]
[0.39856006],[37.52959871],[5.18564876],[4.96673173],[0.04535132],[187.22964878],[385.2489761],[198.01932732]
[0.34477189],[26.08731984],[6.78173335],[4.64621553],[0.90102358],[163.2805179],[283.40099826],[120.12048036]
[0.47814002],[32.18128956],[9.49886943],[2.86816114],[2.96192222],[204.57098144],[419.21228546],[214.64130403]
[0.55707816],[49.94999029],[11.44687853],[3.35946629],[3.20512615],[366.02379766],[1070.06189843],[704.03810077]
[0.32071127],[32.89220728],[8.45426196],[3.32030694],[2.83870198],[200.30425784],[296.11552566],[95.81126782]
[0.38075035],[35.27245215],[9.69829881],[4.74579161],[1.97338784],[247.6610082],[618.13051939],[370.46951118]
[0.41108112],[48.40806886],[9.01980518],[2.70078789],[3.28159723],[282.72417362],[484.76686457],[202.04269095]
[0.44077854],[49.4315617],[7.93773095],[4.15679291],[1.14216422],[290.30822566],[718.91830056],[428.6100749]
[0.34370481],[42.86825951],[7.50261934],[2.66664766],[2.64347966],[224.85940127],[294.78135289],[69.92195162]
[0.4598971],[28.61583657],[10.93559638],[3.36712258],[3.45125388],[209.23264361],[484.5833791],[275.35073549]
[0.56263147],[36.79253402],[9.0456831],[4.97483984],[0.6607888],[248.32901322],[931.54576125],[683.21674803]
[0.5885779],[44.82600841],[5.81380609],[3.60087718],[0.17599965],[216.6948374],[552.33538965],[335.64055225]
[0.50054646],[43.29272636],[7.78552579],[3.45011574],[1.27162954],[242.96411884],[582.07767307],[339.11355423]
[0.53676149],[32.30501577],[10.11427545],[3.41262032],[2.40090591],[220.29938308],[598.51364844],[378.21426537]
[0.3119912],[34.84310584],[11.19373433],[4.7614493],[3.51564088],[270.903573],[579.39316279],[308.48958979]
[0.46080486],[34.78342696],[6.87070315],[3.21801755],[1.14373089],[187.58704863],[354.38800062],[166.80095198]
[0.54897864],[36.96641263],[5.85805798],[3.65419042],[0.25352465],[186.53965398],[434.41778058],[247.8781266]
[0.36108522],[49.11508788],[6.0488634],[3.8606549],[0.84368485],[242.65398288],[414.15165237],[171.49766949]
[0.37309405],[37.81644288],[4.98723992],[4.23431365],[0.28159041],[181.26443002],[297.9492417],[116.68481168]
[0.47958887],[33.75434894],[3.31745927],[2.86298285],[-0.04182262],[143.78961875],[153.75285113],[9.96323239]
[0.46953621],[36.12453754],[5.90228191],[2.96566377],[0.82934476],[178.46195147],[296.90208722],[118.44013576]
[0.4967903],[37.7022218],[8.57661756],[3.22794507],[1.87599774],[224.51370758],[518.53996084],[294.02625325]
[0.35498676],[25.12716318],[8.09233649],[2.28807892],[3.60660712],[155.09493015],[165.15835334],[10.06342319]
[0.52362355],[36.08261262],[3.80188239],[2.48435958],[0.15611238],[152.15428929],[178.45563867],[26.30134938]
[0.40009657],[40.85348466],[11.09261589],[4.60683539],[2.70589448],[311.36543705],[835.27714846],[523.91171141]
[0.53944555],[47.57316882],[10.81884489],[3.54865884],[2.66529368],[336.06790539],[985.269047],[649.20114161]
[0.40509479],[28.06839121],[11.31602281],[4.63624048],[2.77334478],[225.29844902],[596.53227621],[371.23382719]
[0.34912598],[43.55134579],[8.36996723],[4.13643816],[1.88619167],[264.68573447],[526.42200644],[261.73627196]
[0.3542122],[48.74439798],[4.72255452],[3.02962894],[0.67679007],[207.90579956],[247.03281347],[39.12701391]
[0.37657291],[30.98122612],[11.53493118],[3.03911373],[5.28073184],[225.67434118],[408.98712494],[183.31278376]
[0.31152919],[29.85139517],[7.56160604],[3.09667943],[2.49037195],[174.90665297],[217.75777997],[42.85112701]
[0.41484446],[45.51965641],[10.83417686],[2.72389164],[4.80571887],[302.19145945],[557.2755792],[255.08411975]
[0.37751151],[27.97844745],[11.49179113],[3.7556633],[4.08038098],[216.78355591],[455.85653295],[239.07297704]
[0.50253766],[39.5602779],[7.52120973],[4.54504726],[0.5402221],[231.70305746],[679.60106367],[447.8980062]
[0.42683971],[35.15404186],[7.15553095],[4.1644174],[0.8693432],[201.29922709],[447.13246066],[245.83323357]
