Cb,L,B,T,GMT,Wt,Disp,Excess
[0.48036562],[35.89243015],[6.09765227],[3.01160818],[0.85437724],[299.81056151],[316.61821705],[16.80765553]
[0.46126099],[37.05153254],[11.28138452],[2.46758524],[5.36789045],[450.64349611],[475.75950231],[25.1160062]
[0.49737038],[33.1868573],[6.46524427],[3.32952797],[0.7727436],[391.93431197],[355.31509318],[-36.61921879]
[0.4061454],[42.2506791],[4.23787831],[2.66085749],[0.47869257],[206.03269866],[193.50194461],[-12.53075404]
[0.45489876],[41.12458358],[9.33994125],[4.61018104],[1.43510958],[753.86834526],[805.52382579],[51.65548053]
[0.48137902],[41.53019243],[9.92469776],[4.51413768],[1.63471922],[846.74558627],[895.66003305],[48.91444678]
[0.56201247],[32.21532952],[4.49168866],[2.58794715],[0.27043793],[192.61758064],[210.46194455],[17.84436392]
[0.39230086],[26.01585025],[6.27653525],[3.19026047],[1.15070297],[197.07407873],[204.36353452],[7.28945579]
[0.43138927],[40.38158235],[10.67168949],[4.31330538],[2.4753479],[790.20784136],[801.85540364],[11.64756228]
[0.52922914],[32.55947966],[5.59032604],[2.02594583],[1.20606047],[191.88436442],[195.15791355],[3.27354913]
[0.43852339],[42.30650272],[11.64146348],[4.61285589],[2.72732692],[974.74234192],[996.27070163],[21.52835971]
[0.35702012],[39.9304307],[4.67563525],[2.8982076],[0.70467712],[198.99852584],[193.18206493],[-5.81646092]
[0.34759548],[47.46039119],[7.06385152],[2.16249525],[2.93218976],[253.20747056],[252.00093738],[-1.20653318]
[0.32042358],[29.08010872],[6.45271905],[3.6830415],[1.326806],[210.63281792],[221.44702904],[10.81421112]
[0.56969069],[25.14098615],[11.8369745],[3.56658469],[3.12494638],[553.49848134],[604.66479711],[51.16631577]
[0.45176653],[35.79970476],[7.20909989],[4.02694888],[0.85835505],[491.19649186],[469.51628373],[-21.68020813]
[0.41551086],[34.9188713],[6.49384264],[3.33333681],[1.07142262],[315.08728411],[314.06788848],[-1.01939563]
[0.34216487],[30.17669062],[9.7507316],[2.30827997],[5.46310249],[227.91475546],[232.39817453],[4.48341907]
[0.39388766],[44.15518462],[6.46849683],[2.24886599],[2.0384889],[231.98608982],[253.00029612],[21.01420629]
[0.45036856],[34.16504925],[10.51565166],[2.77680092],[4.09707189],[482.48217192],[449.29445076],[-33.18772116]
[0.41979967],[37.09870009],[8.10531945],[4.67614111],[1.03885732],[642.04187899],[590.28062829],[-51.7612507]
[0.34763779],[32.74339284],[4.30420583],[3.34438821],[0.42107587],[180.67265518],[163.85525461],[-16.81740057]
[0.33492132],[36.22667733],[7.46661406],[2.4916718],[2.90742416],[221.33257724],[225.72820786],[4.39563061]
[0.40932356],[36.74391385],[7.13543771],[2.07897873],[2.69393526],[238.06558946],[223.11194261],[-14.95364685]
[0.4698932],[36.36971268],[9.14001151],[2.32619264],[3.58644597],[341.56589159],[363.3552551],[21.78936352]
[0.36204278],[27.83942712],[11.68883041],[2.06305565],[8.5446232],[238.0623195],[243.05367245],[4.99135295]
[0.53310075],[25.24832916],[6.45236304],[2.08265334],[1.64771226],[196.84830064],[180.87465722],[-15.97364342]
[0.34100469],[27.93687824],[6.10069709],[3.46571486],[1.15195958],[200.27788412],[201.42367634],[1.14579222]
[0.39237423],[35.233729],[5.99387567],[2.17033945],[1.8000613],[193.36841227],[179.84339183],[-13.52502044]
[0.55969427],[49.71682503],[3.67587145],[2.09751037],[0.23454862],[208.37386826],[214.54513721],[6.17126895]
[0.44825497],[33.70172494],[4.9000758],[3.56200432],[0.24039234],[281.35663629],[263.67835618],[-17.67828011]
[0.38123434],[27.10459005],[4.0134146],[4.13894966],[0.01125739],[178.84827718],[171.64810978],[-7.20016739]
[0.50251956],[40.35999968],[4.016767],[2.60086203],[0.21254329],[195.74333189],[211.88395956],[16.14062767]
[0.35947332],[32.40405199],[4.60045658],[3.25202598],[0.52056557],[183.75445119],[174.26931632],[-9.48513488]
[0.42039718],[36.6753313],[8.98633034],[3.70294302],[2.08942591],[526.37037545],[513.05420365],[-13.3161718]
[0.47000994],[40.24250182],[11.11345392],[4.1307181],[2.64209114],[875.06979138],[868.29364978],[-6.7761416]
[0.3412095],[45.9239806],[5.78760882],[2.61092722],[1.52278356],[232.24067425],[236.78521103],[4.54453678]
[0.34469058],[38.16197169],[5.94583858],[2.49568664],[1.69928045],[205.81066209],[195.19261688],[-10.61804521]
[0.55572137],[25.56922218],[9.43485903],[4.71642533],[0.97275513],[598.92860029],[632.29972789],[33.3711276]
[0.52442729],[25.39262181],[7.10895027],[4.4832582],[0.35842672],[393.37362886],[424.41629681],[31.04266794]
[0.49494854],[34.15989114],[9.86353493],[2.91192336],[3.06526925],[523.76140424],[485.61160326],[-38.14980098]
[0.37735796],[25.42692145],[4.89442542],[4.88857914],[0.06596131],[209.02908813],[229.57873409],[20.54964596]
