Cb,L,B,T,GMT,Wt,Disp,Excess
[0.48142659],[30.04866125],[7.31686721],[3.51750029],[1.08070186],[550.08051012],[372.31841636],[-177.76209376]
[0.49336917],[35.92245791],[5.63113615],[3.49707282],[0.38603124],[330.56214533],[349.01070797],[18.44856264]
[0.33021382],[49.49668979],[11.20531043],[4.86952263],[3.21573751],[479.14878331],[891.82919342],[412.68041011]
[0.50129403],[49.68918613],[4.4988271],[3.10858707],[0.16153232],[243.48686259],[348.35075291],[104.86389032]
[0.3971152],[45.11989191],[10.97079643],[2.62343064],[5.34901584],[340.68176808],[515.69427446],[175.01250638]
[0.35595135],[44.98020298],[8.66382233],[3.62598488],[2.39637958],[316.820823],[502.97636337],[186.15554038]
[0.57185123],[34.19695967],[7.22685468],[4.84549583],[0.10537017],[398.70097263],[684.7910905],[286.09011787]
[0.31158509],[44.48211676],[6.60542655],[3.06943188],[1.86183732],[249.62212177],[281.00948837],[31.38736661]
[0.47164598],[38.38765674],[7.20796719],[2.64297537],[1.74159834],[300.91995461],[344.91624936],[43.99629475]
[0.39857272],[35.01655227],[11.18908235],[3.00281894],[4.76822082],[307.02846284],[468.92627368],[161.89781084]
[0.47907079],[40.1454598],[9.00684911],[4.69898022],[1.12219614],[811.29030669],[813.97793993],[2.68763324]
[0.55498249],[25.80778703],[7.07508376],[2.73587808],[1.29085685],[251.45761344],[277.24158667],[25.78397322]
[0.51768918],[34.94329517],[8.78927165],[2.03307347],[3.56406822],[246.95197951],[323.25027851],[76.298299]
[0.52704778],[43.97573186],[8.41422033],[3.78006414],[1.23612615],[372.50976623],[737.18436604],[364.67459981]
[0.54573661],[49.22898016],[7.94120125],[3.42192698],[1.20526721],[363.4934584],[730.06389005],[366.57043164]
[0.45677658],[31.08986767],[7.50464043],[4.6201954],[0.66907168],[830.34737233],[492.39420985],[-337.95316248]
[0.46183877],[49.19243761],[4.71733629],[2.57026392],[0.57000603],[237.32224264],[275.46301198],[38.14076934]
[0.38957409],[43.67987758],[3.25295584],[2.16118883],[0.3524371],[181.35888293],[119.63062299],[-61.72825994]
[0.34804394],[37.99536991],[5.30462302],[2.42461652],[1.33889916],[195.07590387],[170.08356301],[-24.99234086]
[0.51189071],[35.23899332],[5.84543509],[2.76662369],[0.80567742],[225.78285678],[291.7209879],[65.93813112]
[0.49624986],[40.39003638],[10.78756186],[3.65512142],[2.76692587],[729.49848866],[790.31412679],[60.81563813]
[0.46847742],[36.49199096],[8.03501548],[2.76930446],[2.13807133],[354.71187383],[380.40274578],[25.69087195]
[0.36289159],[31.51574022],[5.77588714],[4.50498269],[0.49211949],[227.97951797],[297.58856489],[69.60904692]
[0.49107906],[26.69610404],[7.65058792],[4.15034257],[0.82218977],[974.25109444],[416.27282212],[-557.97827232]
[0.52686146],[28.71608184],[8.51741515],[2.63368883],[2.34009542],[279.10605372],[339.38597192],[60.2799182]
[0.47902707],[31.1909008],[6.40039797],[4.0106909],[0.4670752],[531.74065428],[383.5430754],[-148.19757888]
[0.37913534],[47.02785564],[10.59475195],[4.80932532],[2.42810972],[452.96053436],[908.49887758],[455.53834322]
[0.55703516],[38.49336018],[5.48066089],[2.14758685],[0.97153859],[208.71636342],[252.37835315],[43.66198972]
[0.49988597],[38.45258157],[8.6883791],[3.59177707],[1.61420095],[554.86015643],[599.85265987],[44.99250343]
[0.43586247],[34.13177701],[6.01902458],[2.50886619],[1.31581659],[239.55243872],[224.65288125],[-14.89955747]
[0.40176723],[48.95936774],[4.62181506],[2.20730116],[0.9072758],[221.17560365],[200.67093155],[-20.5046721]
[0.57683623],[28.88800425],[8.219027],[2.67148931],[1.91372931],[287.18883193],[365.88442133],[78.6955894]
[0.43230271],[28.5142045],[9.18480077],[3.59796358],[2.22529085],[762.31312905],[407.35750597],[-354.95562308]
[0.45170105],[36.88861903],[9.37138291],[2.77903996],[3.15711236],[408.46350801],[433.95228065],[25.48877264]
[0.45098173],[31.91478732],[9.90787405],[2.31998358],[4.44180446],[386.94625407],[330.8386928],[-56.10756127]
[0.54823188],[25.73572765],[9.91846622],[4.16009768],[1.57881177],[526.49115978],[582.16861098],[55.6774512]
[0.43806141],[40.08447937],[4.41034966],[3.14373417],[0.26414597],[226.26033519],[243.46137994],[17.20104475]
[0.52532988],[39.42794964],[11.84429809],[3.13156131],[4.02120306],[428.61868669],[768.25703085],[339.63834416]
[0.4290231],[25.80044626],[10.92933756],[2.72583535],[4.75261518],[664.1942646],[329.76256196],[-334.43170264]
[0.45918228],[32.58750073],[3.06248997],[2.58169028],[0.01339203],[170.79388934],[118.3082378],[-52.48565154]
[0.40246005],[27.53657636],[8.41542275],[3.90473833],[1.72577163],[737.45303093],[364.16700832],[-373.28602262]
[0.33348287],[33.0756459],[10.47817092],[2.62014789],[5.6571854],[260.66952475],[302.82599469],[42.15646995]
[0.49755632],[35.68111991],[6.16430517],[3.15329359],[0.74833244],[327.58204116],[345.08752537],[17.50548421]
[0.35061068],[43.50949983],[9.1545584],[2.65838355],[4.00376632],[288.74478746],[371.2481273],[82.50333984]
[0.57557326],[47.44475986],[6.17850515],[2.18297382],[1.26113157],[252.83441547],[368.3161868],[115.48177133]
[0.33123401],[36.92662564],[3.66501355],[4.43368304],[0.02398643],[191.34445297],[198.75349701],[7.40904404]
[0.53254979],[39.73697696],[7.81101263],[3.86705869],[0.90128123],[349.18263527],[639.20938542],[290.02675015]
[0.51930144],[27.64600814],[3.32688385],[4.97298875],[-0.64303943],[230.59920709],[237.52377012],[6.92456303]
[0.3604613],[42.77787515],[5.24013326],[3.67270215],[0.60087591],[230.39272142],[296.760363],[66.36764158]
[0.5399497],[39.06269452],[11.44453333],[3.25267293],[3.44805627],[431.57402105],[785.15244707],[353.57842602]
[0.35441111],[37.68025942],[10.7823074],[2.729428],[5.44549763],[294.18613182],[393.0108743],[98.82474248]
[0.48952696],[46.70019057],[10.57267609],[2.81963231],[3.77962538],[481.98682654],[681.51069668],[199.52387014]
[0.36997017],[31.91804556],[9.67157943],[3.4455808],[3.15218275],[280.11062043],[393.51640397],[113.40578355]
[0.44043394],[49.24922407],[7.08936848],[2.8114771],[1.65028234],[314.04474045],[432.33686609],[118.29212564]
[0.38116857],[27.45066437],[4.60561751],[2.0274433],[1.09609399],[157.3063568],[97.70269011],[-59.6036667]
[0.55147925],[31.26203324],[7.9467993],[2.48856496],[2.04889962],[259.94982072],[340.94758909],[80.99776837]
[0.48419213],[40.23465535],[8.40148096],[4.11771556],[1.18044795],[598.18823925],[673.95391622],[75.76567698]
[0.38402314],[25.92634007],[8.39242549],[2.23479725],[3.73034798],[197.76426709],[186.73435529],[-11.0299118]
[0.47169447],[38.82029379],[4.07665794],[2.18118095],[0.49320086],[189.52556065],[162.82293275],[-26.70262791]
[0.43102298],[37.92121107],[10.01781117],[3.21747636],[3.19028216],[499.50110417],[526.83039822],[27.32929405]
[0.3993152],[40.33113213],[3.71092428],[4.69836927],[-0.22958114],[208.40126668],[280.7924972],[72.39123052]
[0.5680653],[41.87966253],[4.37882068],[2.29194488],[0.37247947],[202.3137575],[238.76065554],[36.44689804]
[0.39551051],[34.9580106],[7.73018764],[3.57134055],[1.63350566],[256.84970444],[381.70341177],[124.85370733]
[0.53044689],[34.2276582],[5.05320009],[2.6191106],[0.52006677],[202.09540604],[240.29206508],[38.19665905]
[0.56628109],[46.7291349],[4.18966861],[2.53154062],[0.18997185],[218.36624433],[280.66248782],[62.29624349]
[0.32698979],[38.31088201],[3.97266186],[3.44677479],[0.34775942],[189.07299056],[171.5342523],[-17.53873826]
[0.35449423],[27.51172689],[6.76373741],[3.06655705],[1.68805526],[201.81040081],[202.28552704],[0.47512623]
[0.56137061],[34.86717023],[9.16388678],[3.96314236],[1.32202789],[405.09483445],[710.86275886],[305.76792441]
[0.53807079],[25.36433751],[11.36232565],[3.03198682],[3.73207653],[413.47638297],[470.17277589],[56.69639292]
[0.42008528],[35.06914007],[8.86381462],[2.10024475],[4.16234189],[286.22275555],[274.25411387],[-11.96864168]
[0.473749],[35.0550892],[6.28658026],[4.88760597],[0.11250369],[599.52762828],[510.28174666],[-89.24588162]
[0.48462581],[49.64235059],[7.22002383],[2.5467508],[1.79198496],[312.23966267],[442.36826017],[130.1285975]
[0.32174417],[27.42019685],[5.98563884],[4.88944743],[0.63956576],[228.2027478],[258.19721115],[29.99446334]
[0.3958877],[40.31063658],[5.87357095],[2.27544087],[1.59754474],[209.53938185],[213.28457008],[3.74518823]
[0.3279432],[35.17031489],[11.94777715],[3.93999388],[4.81389015],[354.42643452],[542.94713657],[188.52070204]
[0.37756989],[36.1966006],[4.41498327],[4.31512329],[0.08214921],[206.52855776],[260.36788448],[53.83932672]
[0.44902721],[30.08257961],[11.13358236],[4.91405036],[2.13573569],[1977.34512159],[739.03033082],[-1238.31479077]
[0.48087524],[47.48908232],[5.77003142],[4.80283983],[-0.02151567],[420.36423],[632.85246283],[212.48823283]
[0.48692498],[39.37379373],[11.58806076],[2.25897222],[6.01553282],[429.68544609],[501.86969341],[72.18424732]
[0.33097632],[37.81058845],[10.31264927],[2.97392361],[4.79274945],[292.08103133],[383.80481662],[91.7237853]
[0.45195035],[45.06147037],[5.9598278],[2.97882195],[0.90294584],[276.14312928],[361.55497525],[85.41184597]
[0.55936698],[42.99249208],[5.10233648],[3.73178765],[-0.02218806],[262.13520398],[457.90508479],[195.76988081]
[0.3310456],[47.77223913],[10.24329569],[4.21106868],[3.14365261],[402.98766539],[682.17446125],[279.18679586]
[0.55371636],[26.73975555],[9.48534909],[2.96722328],[2.43941138],[340.03109417],[416.72383023],[76.69273606]
[0.51593479],[26.0416015],[5.79824186],[4.90976354],[-0.14712146],[348.23491],[382.48939997],[34.25448997]
[0.34460243],[41.16750796],[5.23547899],[3.76812617],[0.62795798],[225.51702014],[279.86898741],[54.35196727]
[0.58379658],[49.52659485],[6.2819541],[4.14754217],[0.09026437],[348.27621104],[753.33055797],[405.05434693]
[0.39974235],[42.71214387],[9.07866248],[2.68573678],[3.44070079],[288.02824149],[416.31001],[128.28176851]
[0.49712639],[27.35365649],[9.51986166],[3.15634909],[2.51407197],[834.7386588],[408.59953985],[-426.13911895]
[0.53592914],[44.15261782],[4.78877248],[4.837268],[-0.39907088],[287.72220922],[548.13581454],[260.41360532]
[0.54632553],[48.54110933],[8.69914568],[3.48333589],[1.52037527],[392.84869211],[803.58746134],[410.73876923]
[0.37794042],[33.88063229],[4.41822252],[4.67341328],[-0.0040601],[207.57205568],[264.3970618],[56.82500613]
[0.3437815],[46.35962117],[9.70405372],[4.78147683],[2.24094257],[392.99613084],[739.49906666],[346.50293582]
[0.52955926],[33.26263543],[6.61089361],[4.61446199],[0.13632218],[356.60989612],[537.34407433],[180.73417822]
[0.35529147],[33.42434031],[11.90463017],[4.93931274],[3.33748094],[416.02834628],[698.28073269],[282.25238641]
[0.58891249],[42.56044463],[10.76312975],[4.54226071],[1.52046053],[574.02863584],[1225.37087186],[651.34223602]
[0.49006043],[48.84370617],[7.7752057],[4.67755002],[0.61321222],[582.63125601],[870.53968114],[287.90842512]
[0.53335314],[30.32446481],[7.04134885],[2.27607221],[1.79343798],[224.34274173],[259.20889299],[34.86615126]
[0.5402402],[45.76200241],[10.44793162],[4.43880004],[1.6562509],[522.19357337],[1146.53632281],[624.34274944]
[0.37102874],[31.58690192],[10.38084188],[4.75753665],[2.41131912],[360.87077475],[578.80104353],[217.93026879]
[0.35213496],[40.14064924],[9.01118721],[4.86202769],[1.75881663],[344.23653931],[619.28843908],[275.05189978]
[0.31006025],[36.09758148],[6.11971224],[4.90714171],[0.74653776],[246.01036475],[336.11183015],[90.1014654]
[0.3301568],[28.59425242],[6.89733187],[2.74990946],[2.20489998],[195.79052597],[179.05997308],[-16.73055289]
[0.58262106],[48.65258086],[10.43348198],[4.71813444],[1.27824046],[604.154675],[1395.37726421],[791.22258921]
